Name,Author,User Rating,Reviews,Price,Year,Genre,ficcao
First 100 Words,Roger Priddy,4.7,17323,4,2017,Non Fiction,0
First 100 Words,Roger Priddy,4.7,17323,4,2018,Non Fiction,0
Food Rules: An Eater's Manual,Michael Pollan,4.4,1555,9,2010,Non Fiction,0
Frozen (Little Golden Book),RH Disney,4.7,3642,0,2014,Fiction,1
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.4,1215,9,2010,Non Fiction,0
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2011,Fiction,1
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2012,Fiction,1
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2013,Fiction,1
George Washington's Sacred Fire,Peter A. Lillback,4.5,408,20,2010,Non Fiction,0
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,4799,16,2013,Non Fiction,0
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2015,Fiction,1
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2016,Fiction,1
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2017,Fiction,1
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2018,Fiction,1
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2019,Fiction,1
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,4.6,7660,12,2019,Non Fiction,0
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,12,2018,Non Fiction,0
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,12,2019,Non Fiction,0
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.6,1365,11,2009,Non Fiction,0
Go Set a Watchman: A Novel,Harper Lee,3.6,14982,19,2015,Fiction,1
Go the F**k to Sleep,Adam Mansbach,4.8,9568,9,2011,Fiction,1
Going Rogue: An American Life,Sarah Palin,4.6,1636,6,2009,Non Fiction,0
Gone Girl,Gillian Flynn,4,57271,10,2012,Fiction,1
Gone Girl,Gillian Flynn,4,57271,10,2013,Fiction,1
Gone Girl,Gillian Flynn,4,57271,9,2014,Fiction,1
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6,10141,6,2019,Non Fiction,0
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2009,Non Fiction,0
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2010,Non Fiction,0
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2011,Non Fiction,0
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2012,Non Fiction,0
Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2017,Fiction,1
Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2018,Fiction,1
Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2019,Fiction,1
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,7,2012,Fiction,1
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,7,2013,Fiction,1
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,4.6,5972,10,2014,Non Fiction,0
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,4.4,25624,14,2015,Fiction,1
Guts,Raina Telgemeier,4.8,5476,7,2019,Non Fiction,0
Hamilton: The Revolution,Lin-Manuel Miranda,4.9,5867,54,2016,Non Fiction,0
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.8,4148,11,2013,Non Fiction,0
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,4.9,19622,30,2016,Fiction,1
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,4,23973,12,2016,Fiction,1
