codigo,CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB
166,2020,3,12019000,21,81,SP,917800,3688,3687850,1272780
167,2020,4,12019000,21,827,TO,320151,3000,3000000,1021500
168,2020,3,12019000,21,607,TO,320151,21242,21241992,7177268
169,2020,4,12019000,21,160,MG,927700,470,469984,155499
170,2020,3,12019000,21,160,RS,320151,1000,1000000,344400
171,2020,3,12019000,21,245,PA,320151,3270,3270432,1134374
172,2020,1,12019000,21,399,PA,320151,2431,2430791,866942
173,2020,4,12019000,21,87,AC,227600,98,98000,32819
174,2020,1,12019000,21,776,MT,917800,212,212134,75441
175,2020,3,12019000,21,628,AL,210200,19050,19050000,6567869
176,2020,4,12019000,21,858,GO,927700,3,3267,1044
177,2020,4,12019000,21,160,SP,817800,3191,3190910,1043842
178,2020,3,12019000,21,160,GO,727600,304709,304709300,105017812
179,2020,3,12019000,21,160,BA,517800,171771,171770283,57947035
180,2020,4,12019000,21,399,ND,817800,70000,70000000,20200000
181,2020,2,12019000,21,160,PA,320151,3911,3911759,1366696
182,2020,4,12019000,21,776,MG,817800,21549,21549492,7169849
183,2020,4,12019000,21,245,MT,217800,84450,84449662,28228451
184,2020,2,12019000,21,573,MT,817800,68868,68868263,25439359
185,2020,3,12019000,21,160,GO,817800,650132,650129942,224160533
186,2020,4,12019000,21,245,MT,210200,77900,77900000,25773829
187,2020,4,12019000,21,776,GO,817800,35602,35601804,11964804
188,2020,3,12019000,21,160,MS,927700,204227,204226156,70044722
189,2020,3,12019000,21,160,MA,320151,157570,157569903,54601057
190,2020,3,12019000,21,160,GO,927700,12708,12707593,4344350
191,2020,4,12019000,21,160,SP,927700,9160,9159473,3090329
192,2020,2,12019000,21,160,PR,927700,119565,119563942,41166565
193,2020,2,12019000,21,160,RS,927700,1618,1617512,560565
194,2020,2,12019000,21,160,GO,817800,259219,259220599,90111169
195,2020,3,12019000,21,858,MG,727600,1642,1642413,564728
196,2020,2,12019000,21,245,RO,210200,13550,13550000,4826645
197,2020,2,12019000,21,160,MT,320151,50735,50735435,17645761
198,2020,4,12019000,21,576,PR,917800,75879,75879829,26278022
199,2020,4,12019000,21,59,PA,217800,6001,6000935,2063838
200,2020,4,12019000,21,576,MS,817800,10088,10087765,3469276
