Data,São Paulo,Rio de Janeiro,Minas Gerais,Espírito Santo
27-Dec,2836,994,1217,610
28-Dec,1576,605,1110,3517
29-Dec,12477,4585,4995,1698
30-Dec,11849,2114,6391,2676
31-Dec,10219,6275,6865,1324
1-Jan,3894,742,3975,1020
2-Jan,1762,214,2418,973
3-Jan,3469,135,1370,1405
4-Jan,2248,3606,1432,1466
5-Jan,12881,4262,4588,2496
6-Jan,14534,4482,7715,1684
7-Jan,14073,4669,7250,1646
8-Jan,13794,1517,7812,2029
9-Jan,11561,5591,8299,1187
10-Jan,5919,1061,4443,1347
11-Jan,3010,634,2696,2052
12-Jan,12702,3589,7826,1895
13-Jan,15275,4287,8319,1772
14-Jan,13710,4211,8694,1818
15-Jan,15016,3396,9120,1990
16-Jan,13774,4067,7831,1478
17-Jan,5720,947,6812,995
18-Jan,2933,373,2482,1853
19-Jan,15953,4375,5865,1682
20-Jan,14411,4015,7429,1387
21-Jan,12118,3306,8831,1618
22-Jan,9005,669,9593,1952
23-Jan,14596,5389,8873,858
24-Jan,5072,1017,4171,800
25-Jan,2867,234,2697,1551
26-Jan,12959,4160,5707,1155
27-Jan,16041,3517,8392,1246
28-Jan,14776,3678,8318,1169
29-Jan,13887,4077,6000,1613
30-Jan,13067,3862,8001,642
31-Jan,4334,237,4518,1099
1-Feb,2354,2031,1779,1230
2-Feb,14297,3278,4707,1282
3-Feb,12990,3249,5937,1120
4-Feb,13932,2852,10052,1463
5-Feb,12222,2757,5441,1505
6-Feb,11923,2690,4649,1132
7-Feb,4248,162,7050,993
8-Feb,2442,2101,2104,886
9-Feb,13201,1009,3972,1119
10-Feb,13825,5985,6466,1570
11-Feb,11167,2033,6504,1534
12-Feb,11605,2768,5554,1436
13-Feb,9837,2158,5352,776
14-Feb,2187,795,3184,588
15-Feb,2316,706,1446,515
16-Feb,11496,8385,3049,407
17-Feb,11302,587,5159,929
18-Feb,10747,2415,5547,1062
19-Feb,11105,2256,4989,1634
20-Feb,10859,2250,9604,1254
21-Feb,4504,573,3274,1175
22-Feb,2550,859,2062,1073
23-Feb,12077,409,5386,1371
24-Feb,12086,3908,5696,1447
25-Feb,11889,1935,9043,1413
26-Feb,11596,424,6728,1183
27-Feb,11142,2622,5654,1089
28-Feb,4361,880,3821,990
1-Mar,3071,751,4400,1210
2-Mar,10168,1825,3975,1057
3-Mar,13749,2180,6565,1153
4-Mar,12236,1894,7890,1685
5-Mar,13072,2251,9264,1477
6-Mar,13763,560,10450,1320
7-Mar,6051,1697,6368,712
8-Mar,4224,762,1999,1275
9-Mar,16058,2172,3830,1344
10-Mar,15541,2436,10409,1521
11-Mar,14505,2094,7745,1831
12-Mar,15720,2505,9912,1405
13-Mar,15344,2281,7421,1512
14-Mar,7853,268,7490,944
15-Mar,5259,1086,3215,1576
16-Mar,17684,1081,6093,2502
17-Mar,17942,4093,11045,2109
18-Mar,17492,2950,11372,2318
19-Mar,18673,2354,10975,2083
20-Mar,18028,944,9890,2396
21-Mar,8265,2763,9593,1519
22-Mar,4775,1469,2739,2250
23-Mar,20942,3021,3897,2263
24-Mar,20395,2892,13796,2192
25-Mar,18447,2980,13925,2525
26-Mar,21489,3179,14062,1708
27-Mar,18124,2769,11558,2494
28-Mar,17013,1986,7036,1575
29-Mar,5220,787,3112,1710
30-Mar,21360,3500,8206,3478
31-Mar,23169,3121,12020,2771
