cod,ano,cid1,cid2,num1,num2,num3,num4
8,2018,RIO DE JANEIRO,SÃO PAULO,0,6811,1080,3
9,2018,RIO DE JANEIRO,SÃO PAULO,0,2043,360,1
10,2018,RIO DE JANEIRO,SÃO PAULO,0,4268,720,2
11,2018,RIO DE JANEIRO,SÃO PAULO,0,5179,720,2
12,2018,RIO DE JANEIRO,SÃO PAULO,17036,367700,48600,135
1,2019,BRASÍLIA,SÃO PAULO,22842,876627,183330,210
1,2019,SÃO PAULO,BRASÍLIA,22736,875554,184203,211
2,2019,BRASÍLIA,SÃO PAULO,0,4488,873,1
2,2019,BRASÍLIA,SÃO PAULO,21342,801770,164997,189
2,2019,SÃO PAULO,BRASÍLIA,20977,829152,164997,189
3,2019,BRASÍLIA,SÃO PAULO,25666,898749,188568,216
3,2019,SÃO PAULO,BRASÍLIA,25164,920040,189441,217
4,2019,BRASÍLIA,SÃO PAULO,30700,965882,200790,230
4,2019,SÃO PAULO,BRASÍLIA,30353,1006360,204282,234
5,2019,BRASÍLIA,SÃO PAULO,32376,1013070,213885,245
5,2019,SÃO PAULO,BRASÍLIA,0,3796,873,1
5,2019,SÃO PAULO,BRASÍLIA,32021,1038670,213012,244
6,2019,BRASÍLIA,SÃO PAULO,31366,978650,201663,231
6,2019,SÃO PAULO,BRASÍLIA,30492,955661,200790,230
7,2019,BRASÍLIA,SÃO PAULO,128,3591,873,1
7,2019,BRASÍLIA,SÃO PAULO,37132,1036230,208647,239
7,2019,SÃO PAULO,BRASÍLIA,0,6800,1746,2
7,2019,SÃO PAULO,BRASÍLIA,37043,1008080,212139,243
8,2019,BRASÍLIA,SÃO PAULO,35427,1065950,217377,249
8,2019,SÃO PAULO,BRASÍLIA,0,8194,1746,2
8,2019,SÃO PAULO,BRASÍLIA,32666,1047060,214758,246
9,2019,BRASÍLIA,SÃO PAULO,31208,979270,202536,232
9,2019,SÃO PAULO,BRASÍLIA,30231,976537,200790,230
10,2019,BRASÍLIA,SÃO PAULO,38,3192,873,1
10,2019,BRASÍLIA,SÃO PAULO,36480,1031480,208647,239
10,2019,SÃO PAULO,BRASÍLIA,36146,1100820,213885,245
11,2019,BRASÍLIA,SÃO PAULO,36513,1040340,210393,241
11,2019,SÃO PAULO,BRASÍLIA,0,3687,873,1
11,2019,SÃO PAULO,BRASÍLIA,35667,1076820,211266,242
12,2019,BRASÍLIA,SÃO PAULO,0,4097,873,1
12,2019,BRASÍLIA,SÃO PAULO,36069,1004750,198171,227
12,2019,SÃO PAULO,BRASÍLIA,36161,1033170,196425,225
12,2019,SÃO PAULO,BRASÍLIA,36161,1033170,196425,225
1,2019,BUENOS AIRES,GUARULHOS,14512,695868,157542,93
1,2019,GUARULHOS,BUENOS AIRES,12516,718314,157542,93
2,2019,BUENOS AIRES,GUARULHOS,9868,614544,142296,84
2,2019,GUARULHOS,BUENOS AIRES,13069,614544,142296,84
3,2019,BUENOS AIRES,GUARULHOS,13372,679708,157542,93
3,2019,GUARULHOS,BUENOS AIRES,14841,750959,157542,93
4,2019,BUENOS AIRES,GUARULHOS,10938,626735,145684,86
4,2019,GUARULHOS,BUENOS AIRES,13449,707305,145684,86
5,2019,BUENOS AIRES,GUARULHOS,5828,318113,74536,44
5,2019,GUARULHOS,BUENOS AIRES,6193,353703,74536,44
6,2019,BUENOS AIRES,GUARULHOS,4188,235357,55902,33
6,2019,GUARULHOS,BUENOS AIRES,4286,268889,55902,33
7,2019,BUENOS AIRES,GUARULHOS,6597,322559,76230,45
7,2019,GUARULHOS,BUENOS AIRES,6350,375901,76230,45
8,2019,BUENOS AIRES,GUARULHOS,5760,315738,72842,43
8,2019,GUARULHOS,BUENOS AIRES,5907,360959,72842,43
9,2019,BUENOS AIRES,GUARULHOS,6396,315458,71148,42
9,2019,GUARULHOS,BUENOS AIRES,6228,348428,71148,42
10,2019,BUENOS AIRES,GUARULHOS,6231,314340,74536,44
10,2019,GUARULHOS,BUENOS AIRES,6372,381779,74536,44
11,2019,BUENOS AIRES,GUARULHOS,5868,281305,64372,38
11,2019,GUARULHOS,BUENOS AIRES,5457,320338,64372,38
12,2019,BUENOS AIRES,GUARULHOS,5809,312471,69454,41
12,2019,GUARULHOS,BUENOS AIRES,5886,340150,69454,41
1,2019,RIO DE JANEIRO,SÃO PAULO,0,9014,1440,4
1,2019,RIO DE JANEIRO,SÃO PAULO,128,2558,360,1
1,2019,RIO DE JANEIRO,SÃO PAULO,20111,354189,48960,136
1,2019,RIO DE JANEIRO,SÃO PAULO,64904,1204930,177510,485
1,2019,SÃO PAULO,RIO DE JANEIRO,0,7905,1440,4
1,2019,SÃO PAULO,RIO DE JANEIRO,136,1924,360,1
1,2019,SÃO PAULO,RIO DE JANEIRO,17715,282980,47160,131
2,2019,RIO DE JANEIRO,SÃO PAULO,0,15976,2160,6
2,2019,RIO DE JANEIRO,SÃO PAULO,16089,340769,46080,128
2,2019,RIO DE JANEIRO,SÃO PAULO,63610,1453790,198372,542
2,2019,SÃO PAULO,RIO DE JANEIRO,0,5430,720,2
2,2019,SÃO PAULO,RIO DE JANEIRO,15356,340612,46080,128
2,2019,SÃO PAULO,RIO DE JANEIRO,58726,1453630,198372,542
3,2019,RIO DE JANEIRO,SÃO PAULO,16399,380412,51840,144
3,2019,RIO DE JANEIRO,SÃO PAULO,0,2305,366,1
3,2019,RIO DE JANEIRO,SÃO PAULO,73771,1574240,231678,633
