codigo_ocorrencia 1,ocorrencia_classificacao,ocorrencia_uf,ocorrencia_dia,ocorrencia_hora,total_recomendacoes,ocorrencia_saida_pista,ocorrencia_tipo,aeronave_registro_categoria,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_ano_fabricacao,aeronave_fase_operacao,aeronave_assentos
46879,INCIDENTE,PR,1/19/2013,16:45:00,0,NÃO,PERDA DE CONTROLE NO SOLO,AVIÃO,INSTRUÇÃO,LEVE,1992,POUSO,4
46881,INCIDENTE,SP,1/18/2013,18:10:00,0,NÃO,PERDA DE CONTROLE NO SOLO,AVIÃO,INSTRUÇÃO,LEVE,1980,CORRIDA APÓS POUSO,2
46883,INCIDENTE,SC,1/20/2013,23:05:00,0,NÃO,PERDA DE CONTROLE NO SOLO,AVIÃO,INSTRUÇÃO,LEVE,1992,POUSO,184
46884,INCIDENTE,SP,1/16/2013,17:13:00,0,NÃO,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,AVIÃO,REGULAR,NENHUM,2002,APROXIMAÇÃO FINAL,2
46885,INCIDENTE,SP,1/12/2013,13:00:00,0,NÃO,ESTOURO DE PNEU,ULTRALEVE,EXPERIMENTAL,LEVE,2012,ARREMETIDA NO AR,6
46896,INCIDENTE,RJ,1/11/2013,18:30:00,0,NÃO,FALHA DO MOTOR EM VOO,HELICÓPTERO,NÃO REGULAR,NENHUM,2012,CRUZEIRO,3
46897,INCIDENTE,RS,1/23/2013,17:00:00,0,NÃO,FALHA DO MOTOR EM VOO,AVIÃO,REGULAR,NENHUM,1976,SUBIDA,52
46898,INCIDENTE,AM,1/27/2013,16:27:00,0,NÃO,FALHA DO MOTOR EM VOO,AVIÃO,REGULAR,NENHUM,1996,CRUZEIRO,0
46900,ACIDENTE,MG,2/7/2012,19:45:00,0,NÃO,PERDA DE CONTROLE EM VOO,AVIÃO,PRIVADA,LEVE,1978,DECOLAGEM,6
46901,ACIDENTE,AM,3/26/2012,20:30:00,2,NÃO,COM TREM DE POUSO,AVIÃO,PRIVADA,SUBSTANCIAL,0,CORRIDA APÓS POUSO,52
46904,INCIDENTE,RJ,1/25/2013,9:20:00,0,NÃO,FALHA DO MOTOR EM VOO,AVIÃO,REGULAR,NENHUM,1997,DECOLAGEM,6
46905,INCIDENTE,SE,1/12/2013,20:00:00,0,NÃO,PANE SECA,HELICÓPTERO,PRIVADA,NENHUM,1981,CRUZEIRO,7
