MêsAno,me,Mês,Ano,Órgão Superior,Órgão/Entidade Vinculada,Valor Empenhado,Valor Liquidado,Valor Pago,Valor Restos a Pagar Pagos
abr/21,4,abr,21,26000 - Ministério da Educação,26268 - Fundação Universidade Federal de Rondônia,31816689.69,21222666.02,21282416.26,2351991.00
Jun/21,6,Jun,21,26000 - Ministério da Educação,26268 - Fundação Universidade Federal de Rondônia,17499494.00,27754897.39,22981901.17,2178659.56
Jan/21,1,Jan,21,26000 - Ministério da Educação,26268 - Fundação Universidade Federal de Rondônia,46540458.87,21227998.12,6838330.30,18327937.74
fev/21,2,fev,21,26000 - Ministério da Educação,26268 - Fundação Universidade Federal de Rondônia,3669286.85,20822210.94,21243992.09,3140042.31
ago/21,8,ago,21,26000 - Ministério da Educação,26268 - Fundação Universidade Federal de Rondônia,5390285.41,21417327.63,21696960.97,1669824.30
Mar/21,3,Mar,21,26000 - Ministério da Educação,26268 - Fundação Universidade Federal de Rondônia,26817750.55,21191637.11,20860038.48,856998.51
mai/21,5,mai,21,26000 - Ministério da Educação,26268 - Fundação Universidade Federal de Rondônia,31057370.11,22701426.79,21301716.35,1207149.12
Mar/21,3,Mar,21,26000 - Ministério da Educação,26281 - Fundação Universidade Federal de Sergipe,82481671.03,56242163.48,55822942.31,1724845.39
fev/21,2,fev,21,26000 - Ministério da Educação,26281 - Fundação Universidade Federal de Sergipe,2836512.16,56365104.25,57160611.55,3628649.60
mai/21,5,mai,21,26000 - Ministério da Educação,26281 - Fundação Universidade Federal de Sergipe,110986216.77,64104168.81,62609493.11,1223706.06
Jan/21,1,Jan,21,26000 - Ministério da Educação,26281 - Fundação Universidade Federal de Sergipe,218262495.43,57873383.90,19240926.86,51977162.47
abr/21,4,abr,21,26000 - Ministério da Educação,26281 - Fundação Universidade Federal de Sergipe,116667454.16,64048196.33,62539669.64,7321180.13
Jul/21,7,Jul,21,26000 - Ministério da Educação,26281 - Fundação Universidade Federal de Sergipe,64078796.32,62378365.95,77311375.20,1294816.51
Jun/21,6,Jun,21,26000 - Ministério da Educação,26281 - Fundação Universidade Federal de Sergipe,52608028.93,79528897.65,63301138.82,5806586.48
ago/21,8,ago,21,26000 - Ministério da Educação,26281 - Fundação Universidade Federal de Sergipe,34540499.31,63210860.24,64524982.54,1734289.36
ago/21,8,ago,21,26000 - Ministério da Educação,26280 - Fundação Universidade Federal de São Carlos,50361852.81,51255038.30,51208694.97,270502.74
Jun/21,6,Jun,21,26000 - Ministério da Educação,26280 - Fundação Universidade Federal de São Carlos,63842883.16,66263991.32,51735101.33,597915.08
mai/21,5,mai,21,26000 - Ministério da Educação,26280 - Fundação Universidade Federal de São Carlos,74128990.96,54377515.81,53028713.13,1554808.74
Jan/21,1,Jan,21,26000 - Ministério da Educação,26280 - Fundação Universidade Federal de São Carlos,50021583.89,49483478.98,16054901.68,41328692.67
Jul/21,7,Jul,21,26000 - Ministério da Educação,26280 - Fundação Universidade Federal de São Carlos,49578747.34,51185385.80,66093913.41,982051.18
Mar/21,3,Mar,21,26000 - Ministério da Educação,26280 - Fundação Universidade Federal de São Carlos,50202228.93,49508384.89,48375452.93,1584352.70
fev/21,2,fev,21,26000 - Ministério da Educação,26280 - Fundação Universidade Federal de São Carlos,50321552.28,48594148.34,49359783.93,3815599.27
abr/21,4,abr,21,26000 - Ministério da Educação,26280 - Fundação Universidade Federal de São Carlos,49338385.59,48978213.25,49826125.23,2173140.96
abr/21,4,abr,21,26000 - Ministério da Educação,26285 - Fundação Universidade Federal de São João Del-Rei,19075997.95,24950287.83,25997678.26,5879781.25
ago/21,8,ago,21,26000 - Ministério da Educação,26285 - Fundação Universidade Federal de São João Del-Rei,6786884.38,26090533.84,26821950.55,2043122.09
mai/21,5,mai,21,26000 - Ministério da Educação,26285 - Fundação Universidade Federal de São João Del-Rei,56319844.59,24814528.48,25092894.87,5960112.03
Jul/21,7,Jul,21,26000 - Ministério da Educação,26285 - Fundação Universidade Federal de São João Del-Rei,49841913.92,26444462.63,32569469.52,3695096.84
Mar/21,3,Mar,21,26000 - Ministério da Educação,26285 - Fundação Universidade Federal de São João Del-Rei,10652480.76,25755554.98,23110637.31,1675874.81
Jun/21,6,Jun,21,26000 - Ministério da Educação,26285 - Fundação Universidade Federal de São João Del-Rei,12009226.66,31566568.12,24661607.06,2646484.70
Jan/21,1,Jan,21,26000 - Ministério da Educação,26285 - Fundação Universidade Federal de São João Del-Rei,106856627.92,23520609.54,8268900.53,20953550.08
fev/21,2,fev,21,26000 - Ministério da Educação,26285 - Fundação Universidade Federal de São João Del-Rei,595410.21,22888360.97,23328756.45,3596697.76
Jan/21,1,Jan,21,26000 - Ministério da Educação,26274 - Fundação Universidade Federal de Uberlândia,888997707.86,118005613.42,45691135.09,89483321.31
fev/21,2,fev,21,26000 - Ministério da Educação,26274 - Fundação Universidade Federal de Uberlândia,4314045.47,114391539.53,116767397.72,9308406.55
Jul/21,7,Jul,21,26000 - Ministério da Educação,26274 - Fundação Universidade Federal de Uberlândia,20444872.69,120762538.60,152931730.93,12108022.22
ago/21,8,ago,21,26000 - Ministério da Educação,26274 - Fundação Universidade Federal de Uberlândia,23168264.05,120844280.84,120860439.91,6490837.41
mai/21,5,mai,21,26000 - Ministério da Educação,26274 - Fundação Universidade Federal de Uberlândia,39030286.66,115769957.99,125203011.27,6333522.92
abr/21,4,abr,21,26000 - Ministério da Educação,26274 - Fundação Universidade Federal de Uberlândia,26809954.94,120894009.88,119394619.53,8449831.06
Jun/21,6,Jun,21,26000 - Ministério da Educação,26274 - Fundação Universidade Federal de Uberlândia,263096963.73,155321283.10,123929993.40,6916599.66
Mar/21,3,Mar,21,26000 - Ministério da Educação,26274 - Fundação Universidade Federal de Uberlândia,110561746.33,128523239.71,116611979.24,5488772.79
fev/21,2,fev,21,26000 - Ministério da Educação,26352 - Fundação Universidade Federal do ABC,21826588.78,21247810.27,21375703.01,3410738.41
mai/21,5,mai,21,26000 - Ministério da Educação,26352 - Fundação Universidade Federal do ABC,31291551.14,23213697.17,23444472.58,1990240.72
Jan/21,1,Jan,21,26000 - Ministério da Educação,26352 - Fundação Universidade Federal do ABC,22108492.58,21332080.14,7907449.37,16253912.62
Mar/21,3,Mar,21,26000 - Ministério da Educação,26352 - Fundação Universidade Federal do ABC,22903470.67,22343132.72,21343967.65,2755918.81
Jul/21,7,Jul,21,26000 - Ministério da Educação,26352 - Fundação Universidade Federal do ABC,22622650.12,24921040.56,30439782.40,1246443.25
Jun/21,6,Jun,21,26000 - Ministério da Educação,26352 - Fundação Universidade Federal do ABC,35300185.27,29902775.55,23580192.25,6239654.34
abr/21,4,abr,21,26000 - Ministério da Educação,26352 - Fundação Universidade Federal do ABC,24719043.61,23800650.22,23032181.79,5447723.95
ago/21,8,ago,21,26000 - Ministério da Educação,26352 - Fundação Universidade Federal do ABC,26727963.20,24588832.92,24734732.21,408967.64
ago/21,8,ago,21,26000 - Ministério da Educação,26275 - Fundação Universidade Federal do Acre,2454792.17,26448643.01,26664591.21,1165269.95
Jun/21,6,Jun,21,26000 - Ministério da Educação,26275 - Fundação Universidade Federal do Acre,87610395.76,32231368.52,25399306.21,2820265.49
Jan/21,1,Jan,21,26000 - Ministério da Educação,26275 - Fundação Universidade Federal do Acre,180413449.29,26041292.97,8010177.24,22534811.32
abr/21,4,abr,21,26000 - Ministério da Educação,26275 - Fundação Universidade Federal do Acre,2125356.31,24749128.80,24618251.51,6253078.33
Mar/21,3,Mar,21,26000 - Ministério da Educação,26275 - Fundação Universidade Federal do Acre,2016383.50,24421411.26,24591422.61,2170560.49
mai/21,5,mai,21,26000 - Ministério da Educação,26275 - Fundação Universidade Federal do Acre,32937963.00,25398667.72,24726222.55,1835927.00
fev/21,2,fev,21,26000 - Ministério da Educação,26275 - Fundação Universidade Federal do Acre,620969.40,24536186.79,25905158.29,3827086.64
