DATA,ESTADO,CIDADE,CASOS CONFIRMADOS,ÓBITOS,POPULAÇÃO ESTIMADA,LETALIDADE
10/18/2021,SC,Princesa,467,11,2937,2.36
10/18/2021,SC,Quilombo,1718,43,9829,2.5
10/18/2021,SC,Rancho Queimado,530,4,2887,0.75
10/18/2021,SC,Rio das Antas,718,15,6202,2.09
10/18/2021,SC,Rio do Campo,679,8,5902,1.18
10/18/2021,SC,Rio do Oeste,908,16,7520,1.76
10/18/2021,SC,Rio dos Cedros,999,26,11808,2.6
10/18/2021,SC,Rio do Sul,9769,138,72006,1.41
10/18/2021,SC,Rio Fortuna,834,11,4620,1.32
10/18/2021,SC,Rio Negrinho,5951,127,42495,2.13
10/18/2021,SC,Rio Rufino,233,5,2483,2.15
10/18/2021,SC,Riqueza,646,16,4561,2.48
10/18/2021,SC,Rodeio,1613,31,11600,1.92
10/18/2021,SC,Romelândia,437,8,4684,1.83
10/18/2021,SC,Salete,939,9,7659,0.96
10/18/2021,SC,Saltinho,250,6,3754,2.4
10/18/2021,SC,Salto Veloso,712,8,4756,1.12
10/18/2021,SC,Sangão,1924,14,12905,0.73
10/18/2021,SC,Santa Cecília,1464,31,16918,2.12
10/18/2021,SC,Santa Helena,214,4,2200,1.87
10/18/2021,SC,Santa Rosa de Lima,336,5,2147,1.49
10/18/2021,SC,Santa Rosa do Sul,1306,27,8378,2.07
10/18/2021,SC,Santa Terezinha,581,7,8773,1.2
10/18/2021,SC,Santa Terezinha do Progresso,329,4,2372,1.22
10/18/2021,SC,Santiago do Sul,155,2,1235,1.29
10/18/2021,SC,Santo Amaro da Imperatriz,3944,80,23579,2.03
10/18/2021,SC,São Bento do Sul,11797,194,85421,1.64
10/18/2021,SC,São Bernardino,390,4,2287,1.03
10/18/2021,SC,São Bonifácio,488,7,2814,1.43
10/18/2021,SC,São Carlos,1026,21,11369,2.05
10/18/2021,SC,São Cristóvão do Sul,297,16,5598,5.39
10/18/2021,SC,São Domingos,1329,21,9434,1.58
10/18/2021,SC,São Francisco do Sul,7844,165,53746,2.1
10/18/2021,SC,São João Batista,5305,101,38583,1.9
10/18/2021,SC,São João do Itaperiú,710,13,3759,1.83
10/18/2021,SC,São João do Oeste,658,9,6402,1.37
10/18/2021,SC,São João do Sul,1076,17,7315,1.58
10/18/2021,SC,São Joaquim,3439,83,27139,2.41
10/18/2021,SC,São José,36078,606,250181,1.68
10/18/2021,SC,São José do Cedro,2051,26,13820,1.27
10/18/2021,SC,São José do Cerrito,755,14,8173,1.85
10/18/2021,SC,São Lourenço do Oeste,1902,66,24291,3.47
10/18/2021,SC,São Ludgero,3198,36,13650,1.13
10/18/2021,SC,São Martinho,797,15,3171,1.88
10/18/2021,SC,São Miguel da Boa Vista,281,8,1807,2.85
10/18/2021,SC,São Miguel do Oeste,7078,72,40868,1.02
10/18/2021,SC,São Pedro de Alcântara,769,12,5935,1.56
10/18/2021,SC,Saudades,1011,17,9810,1.68
10/18/2021,SC,Schroeder,3835,42,21991,1.1
10/18/2021,SC,Seara,3161,36,17576,1.14
10/18/2021,SC,Serra Alta,323,6,3256,1.86
10/18/2021,SC,Siderópolis,1411,50,14092,3.54
10/18/2021,SC,Sombrio,4027,82,30733,2.04
10/18/2021,SC,Sul Brasil,630,7,2423,1.11
10/18/2021,SC,Taió,2532,23,18486,0.91
10/18/2021,SC,Tangará,1452,34,8662,2.34
10/18/2021,SC,Tigrinhos,390,2,1619,0.51
10/18/2021,SC,Tijucas,7021,85,39155,1.21
10/18/2021,SC,Timbé do Sul,965,17,5343,1.76
10/18/2021,SC,Timbó,7700,92,44977,1.19
10/18/2021,SC,Timbó Grande,795,17,7941,2.14
10/18/2021,SC,Três Barras,2328,71,19366,3.05
10/18/2021,SC,Treviso,880,12,3966,1.36
10/18/2021,SC,Treze de Maio,1243,14,7093,1.13
10/18/2021,SC,Treze Tílias,1010,14,7991,1.39
10/18/2021,SC,Trombudo Central,1329,25,7434,1.88
10/18/2021,SC,Tubarão,21792,458,106422,2.1
10/18/2021,SC,Tunápolis,1204,10,4525,0.83
10/18/2021,SC,Turvo,2213,33,12990,1.49
10/18/2021,SC,União do Oeste,407,12,2412,2.95
10/18/2021,SC,Urubici,740,25,11273,3.38
10/18/2021,SC,Urupema,294,3,2459,1.02
10/18/2021,SC,Urussanga,4044,70,21344,1.73
10/18/2021,SC,Vargeão,366,7,3571,1.91
10/18/2021,SC,Vargem,535,4,2432,0.75
10/18/2021,SC,Vargem Bonita,803,8,4451,1
10/18/2021,SC,Vidal Ramos,723,12,6329,1.66
10/18/2021,SC,Videira,11560,124,53610,1.07
10/18/2021,SC,Vitor Meireles,569,11,4943,1.93
10/18/2021,SC,Witmarsum,424,5,3998,1.18
10/18/2021,SC,Xanxerê,10899,181,51642,1.66
10/18/2021,SC,Xavantina,448,5,3903,1.12
10/18/2021,SC,Xaxim,6113,116,28983,1.9
10/18/2021,SC,Zortéa,843,13,3398,1.54
