Tipo de violencia,Data,Região,Quantidade
maus tratos,6/1/2020,Interior,15.00
ameaça,6/1/2020,Interior,3051.00
invasão de domicilio,6/1/2020,Interior,18.00
estupro consumado,6/1/2020,Interior,116.00
estupro tentado,6/1/2020,Interior,29.00
homicidio doloso (exclui feminicidio),7/1/2020,Capital,6.00
feminicidio,7/1/2020,Capital,3.00
tentativa de homicidio,7/1/2020,Capital,4.00
lesão corporal dolosa,7/1/2020,Capital,624.00
maus tratos,7/1/2020,Capital,3.00
ameaça,7/1/2020,Capital,630.00
invasão de domicilio,7/1/2020,Capital,5.00
estupro consumado,7/1/2020,Capital,46.00
estupro tentado,7/1/2020,Capital,7.00
homicidio doloso (exclui feminicidio),7/1/2020,Demacro,3.00
feminicidio,7/1/2020,Demacro,1.00
tentativa de homicidio,7/1/2020,Demacro,7.00
lesão corporal dolosa,7/1/2020,Demacro,756.00
maus tratos,7/1/2020,Demacro,6.00
ameaça,7/1/2020,Demacro,749.00
invasão de domicilio,7/1/2020,Demacro,9.00
estupro consumado,7/1/2020,Demacro,52.00
estupro tentado,7/1/2020,Demacro,14.00
homicidio doloso (exclui feminicidio),7/1/2020,Interior,9.00
feminicidio,7/1/2020,Interior,9.00
tentativa de homicidio,7/1/2020,Interior,21.00
lesão corporal dolosa,7/1/2020,Interior,2446.00
maus tratos,7/1/2020,Interior,24.00
ameaça,7/1/2020,Interior,3025.00
invasão de domicilio,7/1/2020,Interior,32.00
estupro consumado,7/1/2020,Interior,115.00
estupro tentado,7/1/2020,Interior,34.00
homicidio doloso (exclui feminicidio),8/1/2020,Capital,2.00
feminicidio,8/1/2020,Capital,2.00
tentativa de homicidio,8/1/2020,Capital,3.00
lesão corporal dolosa,8/1/2020,Capital,698.00
maus tratos,8/1/2020,Capital,0.00
ameaça,8/1/2020,Capital,669.00
invasão de domicilio,8/1/2020,Capital,4.00
estupro consumado,8/1/2020,Capital,40.00
estupro tentado,8/1/2020,Capital,6.00
homicidio doloso (exclui feminicidio),8/1/2020,Demacro,3.00
feminicidio,8/1/2020,Demacro,2.00
tentativa de homicidio,8/1/2020,Demacro,9.00
lesão corporal dolosa,8/1/2020,Demacro,663.00
maus tratos,8/1/2020,Demacro,2.00
ameaça,8/1/2020,Demacro,696.00
invasão de domicilio,8/1/2020,Demacro,7.00
estupro consumado,8/1/2020,Demacro,40.00
estupro tentado,8/1/2020,Demacro,11.00
homicidio doloso (exclui feminicidio),8/1/2020,Interior,17.00
feminicidio,8/1/2020,Interior,4.00
tentativa de homicidio,8/1/2020,Interior,20.00
lesão corporal dolosa,8/1/2020,Interior,2453.00
maus tratos,8/1/2020,Interior,26.00
ameaça,8/1/2020,Interior,3123.00
invasão de domicilio,8/1/2020,Interior,27.00
estupro consumado,8/1/2020,Interior,126.00
estupro tentado,8/1/2020,Interior,30.00
homicidio doloso (exclui feminicidio),9/1/2020,Capital,5.00
feminicidio,9/1/2020,Capital,4.00
tentativa de homicidio,9/1/2020,Capital,3.00
lesão corporal dolosa,9/1/2020,Capital,718.00
maus tratos,9/1/2020,Capital,2.00
ameaça,9/1/2020,Capital,728.00
invasão de domicilio,9/1/2020,Capital,3.00
estupro consumado,9/1/2020,Capital,45.00
estupro tentado,9/1/2020,Capital,9.00
homicidio doloso (exclui feminicidio),9/1/2020,Demacro,6.00
feminicidio,9/1/2020,Demacro,4.00
tentativa de homicidio,9/1/2020,Demacro,8.00
lesão corporal dolosa,9/1/2020,Demacro,844.00
maus tratos,9/1/2020,Demacro,1.00
ameaça,9/1/2020,Demacro,780.00
invasão de domicilio,9/1/2020,Demacro,2.00
estupro consumado,9/1/2020,Demacro,52.00
estupro tentado,9/1/2020,Demacro,12.00
homicidio doloso (exclui feminicidio),9/1/2020,Interior,15.00
feminicidio,9/1/2020,Interior,9.00
tentativa de homicidio,9/1/2020,Interior,15.00
lesão corporal dolosa,9/1/2020,Interior,2747.00
maus tratos,9/1/2020,Interior,29.00
ameaça,9/1/2020,Interior,3495.00
invasão de domicilio,9/1/2020,Interior,19.00
estupro consumado,9/1/2020,Interior,123.00
estupro tentado,9/1/2020,Interior,31.00
homicidio doloso (exclui feminicidio),10/1/2020,Capital,3.00
feminicidio,10/1/2020,Capital,5.00
tentativa de homicidio,10/1/2020,Capital,1.00
lesão corporal dolosa,10/1/2020,Capital,930.00
maus tratos,10/1/2020,Capital,2.00
ameaça,10/1/2020,Capital,826.00
invasão de domicilio,10/1/2020,Capital,15.00
estupro consumado,10/1/2020,Capital,56.00
estupro tentado,10/1/2020,Capital,6.00
homicidio doloso (exclui feminicidio),10/1/2020,Demacro,7.00
feminicidio,10/1/2020,Demacro,2.00
tentativa de homicidio,10/1/2020,Demacro,10.00
lesão corporal dolosa,10/1/2020,Demacro,785.00
maus tratos,10/1/2020,Demacro,1.00
ameaça,10/1/2020,Demacro,706.00
invasão de domicilio,10/1/2020,Demacro,6.00
estupro consumado,10/1/2020,Demacro,35.00
estupro tentado,10/1/2020,Demacro,10.00
homicidio doloso (exclui feminicidio),10/1/2020,Interior,15.00
feminicidio,10/1/2020,Interior,7.00
tentativa de homicidio,10/1/2020,Interior,22.00
lesão corporal dolosa,10/1/2020,Interior,2919.00
maus tratos,10/1/2020,Interior,25.00
ameaça,10/1/2020,Interior,3406.00
invasão de domicilio,10/1/2020,Interior,30.00
estupro consumado,10/1/2020,Interior,137.00
estupro tentado,10/1/2020,Interior,23.00
homicidio doloso (exclui feminicidio),11/1/2020,Capital,5.00
feminicidio,11/1/2020,Capital,4.00
tentativa de homicidio,11/1/2020,Capital,8.00
lesão corporal dolosa,11/1/2020,Capital,862.00
maus tratos,11/1/2020,Capital,3.00
ameaça,11/1/2020,Capital,754.00
invasão de domicilio,11/1/2020,Capital,1.00
estupro consumado,11/1/2020,Capital,53.00
estupro tentado,11/1/2020,Capital,11.00
