Ano,mes,Empresa (nome),Empresa (sigla),Empresa (pais),Natureza,Passageiros,carga e correio (kg)
2020,2,GOL LINHAS AÃ‰REAS S.A. (EX- VRG LINHAS AÃ‰REAS S.A.),GLO,BRASIL,DOMÃ‰STICA,2677428,7030275
2020,2,ATLAS AIR INC,GTI,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,0,3568797
2020,2,HI FLY TRANSPORTES AEREOS,HFY,PORTUGAL,INTERNACIONAL,390,0
2020,2,IBÃ‰RIA LINEAS AEREAS DE ESPAÃ‘A SOCIEDAD ANONIMA OPERADORA,IBE,ESPANHA,INTERNACIONAL,32040,1034386
2020,2,ICELANDAIR,ICE,ISLÃ‚NDIA,INTERNACIONAL,248,0
2020,2,JETSMART AIRLINES SPA - CHILE,JAT,CHILE,INTERNACIONAL,6723,0
2020,2,KOREAN AIR LINES CO. LTD.,KAL,COREIA DO SUL,INTERNACIONAL,0,1785415
2020,2,KLM CIA. REAL HOLANDESA DE AVIAÃ‡ÃƒO,KLM,HOLANDA,INTERNACIONAL,41204,1619334
2020,2,LÃNEA AÃ‰REA CARGUEIRA DE COLOMBIA S.A - LANCO,LAE,COLÃ”MBIA,INTERNACIONAL,0,647121
2020,2,LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A),LAN,CHILE,INTERNACIONAL,40706,948735
2020,2,TRANSPORTE AÃ‰REOS DEL MERCOSUR S.A. (TAM MERCOSUR),LAP,PARAGUAI,INTERNACIONAL,17220,52142
2019,4,"""LÃNEAS AÃ‰REAS SURAMERICANAS """,LAS,COLÃ”MBIA,INTERNACIONAL,0,32802
2020,2,LAN CARGO S.A.,LCO,CHILE,INTERNACIONAL,0,1986349
2020,2,LAN PERU S.A.,LPE,PERU,INTERNACIONAL,27621,577025
2020,2,ABSA - AEROLINHAS BRASILEIRAS S.A.,LTG,BRASIL,INTERNACIONAL,0,4737152
2020,2,ABSA - AEROLINHAS BRASILEIRAS S.A.,LTG,BRASIL,DOMÃ‰STICA,0,2971917
2020,2,MARTINAIR HOLLAND N.V.,MPH,PAÃSES BAIXOS,INTERNACIONAL,0,1336234
2020,2,MODERN TRANSPORTE AEREO DE CARGA S.A,MWM,BRASIL,DOMÃ‰STICA,0,569982
2020,2,NORWEGIAN AIR UKÂ LIMITED,NRS,REINO UNIDO,INTERNACIONAL,7387,158625
2020,2,FLYEST LINEAS AÃ‰REAS (EX SOL S.A. LINEAS AEREAS),OLS,ARGENTINA,INTERNACIONAL,190,0
