Index, Preço ,Marca,Modelo,Ano,Status do veículo,Milhas,Cor,Estado,País
1675," $ 20,300.00 ",ford,f-750,2012,clean vehicle,188394,white,missouri, usa
1676," $ 23,400.00 ",ford,fusion,2020,clean vehicle,2452,gray,michigan, usa
1677," $ 14,600.00 ",ford,fusion,2019,clean vehicle,36252,silver,virginia, usa
1678," $ 25,500.00 ",ford,f-150,2019,clean vehicle,27136,silver,virginia, usa
1679," $ 14,700.00 ",ford,fusion,2019,clean vehicle,35951,white,virginia, usa
1680," $ 33,700.00 ",ford,f-150,2019,clean vehicle,35221,white,virginia, usa
1681," $ 33,400.00 ",ford,f-150,2019,clean vehicle,33808,gray,virginia, usa
1682," $ 34,000.00 ",ford,f-150,2019,clean vehicle,32022,black,michigan, usa
1683," $ 17,500.00 ",ford,fusion,2019,clean vehicle,34173,white,virginia, usa
1684," $ 14,100.00 ",ford,fusion,2019,clean vehicle,24272,white,michigan, usa
1685," $ 30,000.00 ",ford,f-150,2019,clean vehicle,19055,black,virginia, usa
1686," $ 16,500.00 ",ford,fusion,2019,clean vehicle,34822,red,michigan, usa
1687," $ 30,600.00 ",ford,f-150,2019,clean vehicle,15422,gray,virginia, usa
1688," $ 12,800.00 ",ford,ecosport,2019,clean vehicle,24765,silver,nevada, usa
1689," $ 26,000.00 ",ford,wagon,2019,clean vehicle,23019,white,virginia, usa
1690," $ 46,000.00 ",ford,max,2019,clean vehicle,38243,black,texas, usa
1691," $ 28,500.00 ",ford,ranger,2019,clean vehicle,16509,white,virginia, usa
1692," $ 24,300.00 ",ford,edge,2019,clean vehicle,18762,silver,nevada, usa
1693," $ 29,000.00 ",ford,explorer,2019,clean vehicle,28854,no_color,texas, usa
1694," $ 15,300.00 ",ford,escape,2019,clean vehicle,17392,black,nevada, usa
1695," $ 27,900.00 ",ford,mustang,2019,clean vehicle,13558,white,new mexico, usa
1696," $ 24,700.00 ",ford,edge,2019,clean vehicle,27082,black,nevada, usa
1697," $ 14,400.00 ",ford,escape,2019,clean vehicle,17510,black,texas, usa
1698," $ 15,000.00 ",ford,ecosport,2019,clean vehicle,24662,white,nevada, usa
1699," $ 17,200.00 ",ford,door,2014,clean vehicle,96076,black,florida, usa
1700," $ 12,800.00 ",ford,ecosport,2019,clean vehicle,22858,white,nevada, usa
1701," $ 46,900.00 ",ford,explorer,2020,clean vehicle,740,gray,virginia, usa
1702," $ 2,800.00 ",ford,door,2013,clean vehicle,110748,gray,florida, usa
1703," $ 16,200.00 ",ford,escape,2019,clean vehicle,25090,black,nevada, usa
1704," $ 25,200.00 ",ford,escape,2020,clean vehicle,7,black,virginia, usa
1705," $ 34,800.00 ",ford,max,2019,clean vehicle,34277,silver,nevada, usa
1706," $ 52,000.00 ",ford,srw,2019,clean vehicle,34527,white,texas, usa
1707," $ 26,000.00 ",ford,door,2017,clean vehicle,99923,white,texas, usa
