FID,gid,UF,nome,Censo,PIB,Pop_est_2009,PIB_percapita,Descrição,legenda,classe
vw_pib_percapita.fid--5b279956_17f92aca0ed_-3382,2021,CEARÁ,Granja,2010,16407784375,53952,304117993164,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-336,4922,SANTA CATARINA,São Cristovão do Sul,2010,62822234375,5087,1234955957031,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-334d,3184,MINAS GERAIS,Senhora de Oliveira,2010,3005200976562,5873,511697998047,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-334b,459,RIO GRANDE DO SUL,Redentora,2010,69031109375,10170,678772021484,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-3345,2811,MINAS GERAIS,Presidente Olegário,2010,244568890625,18989,12880,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-329b,1351,ESPIRITO SANTO,São Domingos do Norte,2010,88457796875,8205,1078095996094,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-3282,4010,MATO GROSSO,Lucas do Rio Verde,2010,1809788125,33556,5393337109375,Produto Interno Bruto per capita,52702.10 - 133669.00,4
vw_pib_percapita.fid--5b279956_17f92aca0ed_-3278,5348,PIAUÍ,São Miguel da Baixa Grande,2010,771459814453,2153,358318994141,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-3276,798,ALAGOAS,Taquarana,2010,674901875,18848,358076000977,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-3274,4043,PARANÁ,Janiópolis,2010,802206484375,6983,1148799023438,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-326f,259,BAHIA,Rio de Contas,2010,551622109375,13816,399262988281,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-326b,3832,RONDÔNIA,Ji-Paraná,2010,1401586375,111010,1262576953125,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-31ea,2400,CEARÁ,Martinópole,2010,3023543359375,11118,2720,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-31e7,770,GOIÁS,Aparecida de Goiânia,2010,4601373,510770,900870019531,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-31cb,4626,SÃO PAULO,Limeira,2010,5752286,281583,2042838085938,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-31c2,5474,SANTA CATARINA,Porto União,2010,28177584375,33408,843437988281,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-318,83,BAHIA,Novo Horizonte,2010,3742205078125,11092,337379003906,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-3155,4322,BAHIA,Camacan,2010,1477445625,31113,474864013672,Produto Interno Bruto per capita, - 9639.65,1
