Ano,Órgão Superior,Órgão,Unidade Gestora,Origem,Categoria,Espécie,Detalhamento,Orçamento Atualizado (Valor Previsto),Receita Realizada (Valor Arrecadado),% Previsto/Realizado,Valor Lançado
2022,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações",20301 - Comissão Nacional de Energia Nuclear,113209 - CNEN-ORCAMENTO E FINANCAS,19 - Outras Receitas Correntes,1 - Receitas Correntes,"192 - Indenizações, restituições e ressarcimentos",19220631 - RESTIT.DESP.PRIMARIAS EX.ANTERIORES-PRINC.,0.00,35774.29,0.00%,0.00
2022,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações",20501 - Conselho Nacional de Desenvolvimento Científico e Tecnológico,364001 - CNPQ - ADMINISTRACAO CENTRAL,19 - Outras Receitas Correntes,1 - Receitas Correntes,"192 - Indenizações, restituições e ressarcimentos",19229901 - OUTRAS RESTITUICOES-PRINCIPAL,30496.00,0.00,0.00%,0.00
2022,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações",24901 - Fundo Nacional de Desenvolvimento Científico e Tecnológico,240901 - FUNDO NAC.DE DESENV. CIENT. E TECNOLOGICO,"11 - Impostos, Taxas e Contribuições de Melhoria",1 - Receitas Correntes,112 - Taxas,11210242 - TX.FISC.FUNC-TFF-POSICOES.ORBITAIS/MLT+JRS,0.00,17.30,0.00%,0.00
2022,32000 - Ministério de Minas e Energia,32000 - Ministério de Minas e Energia - Unidades com vínculo direto,320002 - COORD.GERAL DE ORCAM.E FIN./M.M.E,13 - Receita Patrimonial ,1 - Receitas Correntes,134 - Exploração de recursos naturais,13410411 - PART.ESP.PETRO.TERRA(QQ SIT)-CONCESSAO-PRINC.,4976933.00,0.00,0.00%,0.00
2022,53000 - Ministério do Desenvolvimento Regional,22203 - Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba,195006 - CIA DE DES.DOS VALES DO S.FRANC.E DO PARNAIBA,19 - Outras Receitas Correntes,1 - Receitas Correntes,"192 - Indenizações, restituições e ressarcimentos",19219901 - OUTRAS INDENIZACOES-PRINCIPAL,0.00,4560.00,0.00%,0.00
2022,"22000 - Ministério da Agricultura, Pecuária e Abastecimento","22000 - Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto",130101 - COORD.-GERAL DE ORCAMENTO E FINANCAS-MAPA,12 - Contribuições,1 - Receitas Correntes,121 - Contribuições sociais,12190813 - CONTRIBUICAO INDUSTRIAL RURAL-DIVIDA ATIVA,1750461.00,0.00,0.00%,0.00
2022,41000 - Ministério das Comunicações,41231 - Agêncial Nacional de Telecomunicações,413001 - AGENCIA NACIONAL DE TELECOMUNICACOES-SEDE,16 - Receita de Serviços ,1 - Receitas Correntes,161 - Serviços Administrativos e Comerciais Gerais,16110501 - SERVS.TECNICOS.APROV.LAUDOS.TELCOM/PRC,0.00,90.00,0.00%,0.00
2022,26000 - Ministério da Educação,26280 - Fundação Universidade Federal de São Carlos,154049 - FUNDACAO UNIVERSIDADE FEDERAL DE SAO CARLOS,16 - Receita de Serviços ,1 - Receitas Correntes,161 - Serviços Administrativos e Comerciais Gerais,16110401 - SERVICOS DE INFORMACAO E TECNOLOGIA-PRINCIPAL,1194.00,0.00,0.00%,0.00
2022,52000 - Ministério da Defesa,52911 - Fundo Aeronáutico,121002 - SECRETARIA DE ECON. E FIN.DA AER.- F.AER.,13 - Receita Patrimonial ,1 - Receitas Correntes,135 - Exploração do patrimônio intangível,13510401 - ROYAL.COMERC.PROD.RESULT.CRIACAO PROTEG-PRINC,56676.00,0.00,0.00%,0.00
2022,26000 - Ministério da Educação,26271 - Fundação Universidade de Brasília,154040 - FUNDACAO UNIVERSIDADE DE BRASILIA - FUB,76 - Receita de Serviços ,7 - Receitas Correntes - intra-orçamentárias,761 - Serviços Administrativos e Comerciais Gerais,76110201 - INSC.CONCURSOS E PROC.SELETIVOS-PRINC.-INTRA,0.00,79.00,0.00%,0.00
